Commanded Speed (steps/s) | Expected Duration (s) | Actual Duration (s) | Effective Speed (steps/s) | Overridden?
--------------------------------------------------------------------------------------------------------------
10 steps/s (2.0 µm/s) | Expected: 10.145 s | Actual: 10.147 s | Effective: 10.00 steps/s | Overridden: NO
11 steps/s (2.2 µm/s) | Expected: 9.235 s | Actual: 9.234 s | Effective: 11.00 steps/s | Overridden: NO
12 steps/s (2.4 µm/s) | Expected: 8.478 s | Actual: 8.466 s | Effective: 12.02 steps/s | Overridden: NO
13 steps/s (2.6 µm/s) | Expected: 7.837 s | Actual: 7.826 s | Effective: 13.02 steps/s | Overridden: NO
14 steps/s (2.8 µm/s) | Expected: 7.287 s | Actual: 7.282 s | Effective: 14.01 steps/s | Overridden: NO
15 steps/s (3.0 µm/s) | Expected: 6.811 s | Actual: 6.802 s | Effective: 15.02 steps/s | Overridden: NO
16 steps/s (3.2 µm/s) | Expected: 6.395 s | Actual: 3.105 s | Effective: 33.78 steps/s | Overridden: YES
17 steps/s (3.4 µm/s) | Expected: 6.027 s | Actual: 2.737 s | Effective: 38.57 steps/s | Overridden: YES
18 steps/s (3.6 µm/s) | Expected: 5.700 s | Actual: 2.417 s | Effective: 44.01 steps/s | Overridden: YES
19 steps/s (3.8 µm/s) | Expected: 5.408 s | Actual: 2.129 s | Effective: 50.40 steps/s | Overridden: YES
20 steps/s (4.0 µm/s) | Expected: 5.145 s | Actual: 1.857 s | Effective: 58.40 steps/s | Overridden: YES
21 steps/s (4.2 µm/s) | Expected: 4.906 s | Actual: 1.616 s | Effective: 67.94 steps/s | Overridden: YES
22 steps/s (4.4 µm/s) | Expected: 4.690 s | Actual: 1.409 s | Effective: 79.10 steps/s | Overridden: YES
23 steps/s (4.6 µm/s) | Expected: 4.492 s | Actual: 1.216 s | Effective: 93.29 steps/s | Overridden: YES
24 steps/s (4.8 µm/s) | Expected: 4.311 s | Actual: 1.025 s | Effective: 113.62 steps/s | Overridden: YES
25 steps/s (5.0 µm/s) | Expected: 4.145 s | Actual: 0.865 s | Effective: 138.89 steps/s | Overridden: YES
26 steps/s (5.2 µm/s) | Expected: 3.991 s | Actual: 0.705 s | Effective: 178.53 steps/s | Overridden: YES
27 steps/s (5.4 µm/s) | Expected: 3.848 s | Actual: 0.561 s | Effective: 240.32 steps/s | Overridden: YES
28 steps/s (5.6 µm/s) | Expected: 3.716 s | Actual: 0.433 s | Effective: 347.16 steps/s | Overridden: YES
29 steps/s (5.8 µm/s) | Expected: 3.593 s | Actual: 0.304 s | Effective: 625.37 steps/s | Overridden: YES
30 steps/s (6.0 µm/s) | Expected: 3.478 s | Actual: 0.192 s | Effective: 2092.23 steps/s | Overridden: YES
31 steps/s (6.2 µm/s) | Expected: 3.370 s | Actual: 3.361 s | Effective: 31.09 steps/s | Overridden: NO
32 steps/s (6.4 µm/s) | Expected: 3.270 s | Actual: 3.265 s | Effective: 32.05 steps/s | Overridden: NO
33 steps/s (6.6 µm/s) | Expected: 3.175 s | Actual: 3.169 s | Effective: 33.07 steps/s | Overridden: NO
34 steps/s (6.8 µm/s) | Expected: 3.086 s | Actual: 3.073 s | Effective: 34.15 steps/s | Overridden: NO
35 steps/s (7.0 µm/s) | Expected: 3.002 s | Actual: 2.993 s | Effective: 35.11 steps/s | Overridden: NO
36 steps/s (7.2 µm/s) | Expected: 2.922 s | Actual: 2.913 s | Effective: 36.12 steps/s | Overridden: NO
37 steps/s (7.4 µm/s) | Expected: 2.847 s | Actual: 2.849 s | Effective: 36.98 steps/s | Overridden: NO
38 steps/s (7.6 µm/s) | Expected: 2.776 s | Actual: 2.769 s | Effective: 38.11 steps/s | Overridden: NO
39 steps/s (7.8 µm/s) | Expected: 2.709 s | Actual: 2.705 s | Effective: 39.06 steps/s | Overridden: NO
40 steps/s (8.0 µm/s) | Expected: 2.645 s | Actual: 2.641 s | Effective: 40.06 steps/s | Overridden: NO
41 steps/s (8.2 µm/s) | Expected: 2.584 s | Actual: 2.577 s | Effective: 41.11 steps/s | Overridden: NO
42 steps/s (8.4 µm/s) | Expected: 2.526 s | Actual: 2.513 s | Effective: 42.22 steps/s | Overridden: NO
43 steps/s (8.6 µm/s) | Expected: 2.470 s | Actual: 2.465 s | Effective: 43.10 steps/s | Overridden: NO
44 steps/s (8.8 µm/s) | Expected: 2.417 s | Actual: 2.417 s | Effective: 44.01 steps/s | Overridden: NO
45 steps/s (9.0 µm/s) | Expected: 2.367 s | Actual: 2.353 s | Effective: 45.29 steps/s | Overridden: NO
46 steps/s (9.2 µm/s) | Expected: 2.318 s | Actual: 2.305 s | Effective: 46.29 steps/s | Overridden: NO
47 steps/s (9.4 µm/s) | Expected: 2.272 s | Actual: 2.273 s | Effective: 46.99 steps/s | Overridden: NO
48 steps/s (9.6 µm/s) | Expected: 2.228 s | Actual: 2.225 s | Effective: 48.07 steps/s | Overridden: NO
49 steps/s (9.8 µm/s) | Expected: 2.185 s | Actual: 2.177 s | Effective: 49.20 steps/s | Overridden: NO
50 steps/s (10.0 µm/s) | Expected: 2.145 s | Actual: 2.145 s | Effective: 49.99 steps/s | Overridden: NO
51 steps/s (10.2 µm/s) | Expected: 2.105 s | Actual: 2.097 s | Effective: 51.22 steps/s | Overridden: NO
52 steps/s (10.4 µm/s) | Expected: 2.068 s | Actual: 2.065 s | Effective: 52.08 steps/s | Overridden: NO
53 steps/s (10.6 µm/s) | Expected: 2.031 s | Actual: 2.033 s | Effective: 52.96 steps/s | Overridden: NO
54 steps/s (10.8 µm/s) | Expected: 1.996 s | Actual: 1.985 s | Effective: 54.34 steps/s | Overridden: NO
55 steps/s (11.0 µm/s) | Expected: 1.963 s | Actual: 1.953 s | Effective: 55.30 steps/s | Overridden: NO
56 steps/s (11.2 µm/s) | Expected: 1.930 s | Actual: 1.921 s | Effective: 56.30 steps/s | Overridden: NO
57 steps/s (11.4 µm/s) | Expected: 1.899 s | Actual: 1.889 s | Effective: 57.33 steps/s | Overridden: NO
58 steps/s (11.6 µm/s) | Expected: 1.869 s | Actual: 1.857 s | Effective: 58.41 steps/s | Overridden: NO
59 steps/s (11.8 µm/s) | Expected: 1.839 s | Actual: 1.841 s | Effective: 58.95 steps/s | Overridden: NO
60 steps/s (12.0 µm/s) | Expected: 1.811 s | Actual: 1.809 s | Effective: 60.08 steps/s | Overridden: NO
61 steps/s (12.2 µm/s) | Expected: 1.784 s | Actual: 1.777 s | Effective: 61.26 steps/s | Overridden: NO
62 steps/s (12.4 µm/s) | Expected: 1.757 s | Actual: 1.745 s | Effective: 62.49 steps/s | Overridden: NO
63 steps/s (12.6 µm/s) | Expected: 1.732 s | Actual: 1.729 s | Effective: 63.12 steps/s | Overridden: NO
64 steps/s (12.8 µm/s) | Expected: 1.707 s | Actual: 1.697 s | Effective: 64.42 steps/s | Overridden: NO
65 steps/s (13.0 µm/s) | Expected: 1.683 s | Actual: 1.681 s | Effective: 65.09 steps/s | Overridden: NO
66 steps/s (13.2 µm/s) | Expected: 1.660 s | Actual: 1.649 s | Effective: 66.49 steps/s | Overridden: NO
67 steps/s (13.4 µm/s) | Expected: 1.637 s | Actual: 1.633 s | Effective: 67.19 steps/s | Overridden: NO
68 steps/s (13.6 µm/s) | Expected: 1.615 s | Actual: 1.617 s | Effective: 67.94 steps/s | Overridden: NO
69 steps/s (13.8 µm/s) | Expected: 1.594 s | Actual: 1.585 s | Effective: 69.43 steps/s | Overridden: NO
70 steps/s (14.0 µm/s) | Expected: 1.573 s | Actual: 1.568 s | Effective: 70.23 steps/s | Overridden: NO
71 steps/s (14.2 µm/s) | Expected: 1.553 s | Actual: 1.553 s | Effective: 71.02 steps/s | Overridden: NO
72 steps/s (14.4 µm/s) | Expected: 1.533 s | Actual: 1.521 s | Effective: 72.67 steps/s | Overridden: NO
73 steps/s (14.6 µm/s) | Expected: 1.514 s | Actual: 1.505 s | Effective: 73.53 steps/s | Overridden: NO
74 steps/s (14.8 µm/s) | Expected: 1.496 s | Actual: 1.489 s | Effective: 74.38 steps/s | Overridden: NO
75 steps/s (15.0 µm/s) | Expected: 1.478 s | Actual: 1.472 s | Effective: 75.32 steps/s | Overridden: NO
76 steps/s (15.2 µm/s) | Expected: 1.460 s | Actual: 1.457 s | Effective: 76.21 steps/s | Overridden: NO
77 steps/s (15.4 µm/s) | Expected: 1.443 s | Actual: 1.440 s | Effective: 77.17 steps/s | Overridden: NO
78 steps/s (15.6 µm/s) | Expected: 1.427 s | Actual: 1.425 s | Effective: 78.12 steps/s | Overridden: NO
79 steps/s (15.8 µm/s) | Expected: 1.410 s | Actual: 1.409 s | Effective: 79.10 steps/s | Overridden: NO
80 steps/s (16.0 µm/s) | Expected: 1.395 s | Actual: 1.393 s | Effective: 80.10 steps/s | Overridden: NO
81 steps/s (16.2 µm/s) | Expected: 1.379 s | Actual: 1.377 s | Effective: 81.15 steps/s | Overridden: NO
82 steps/s (16.4 µm/s) | Expected: 1.364 s | Actual: 1.360 s | Effective: 82.26 steps/s | Overridden: NO
83 steps/s (16.6 µm/s) | Expected: 1.349 s | Actual: 1.344 s | Effective: 83.34 steps/s | Overridden: NO
84 steps/s (16.8 µm/s) | Expected: 1.335 s | Actual: 1.329 s | Effective: 84.44 steps/s | Overridden: NO
85 steps/s (17.0 µm/s) | Expected: 1.321 s | Actual: 1.313 s | Effective: 85.61 steps/s | Overridden: NO
86 steps/s (17.2 µm/s) | Expected: 1.307 s | Actual: 1.297 s | Effective: 86.79 steps/s | Overridden: NO
