data point,x,y,voltage,current,move number,flag
1,10500.0,10000.0,4.9997,-9.524e-09,0,0
2,10500.0,10000.0,5.00018,1.1387e-08,0,0
3,10500.0,10000.0,4.99968,-7.871e-09,0,0
4,10500.0,10000.0,5.00003,7.865e-09,0,0
5,10500.0,10000.0,4.99967,-4.515e-09,0,0
6,10500.0,10000.0,-0.00057,2.99988e-07,0,0
7,10500.0,10000.0,-0.00054,2.99988e-07,1,0
8,10500.0,10000.0,-0.0006,2.99988e-07,1,0
9,10500.0,10000.0,-0.00052,2.99987e-07,1,0
10,10500.0,10000.0,-0.00056,2.99985e-07,1,0
11,10500.0,10000.0,-0.00037,2.99988e-07,1,0
12,10500.0,10000.0,-0.00082,2.99988e-07,1,0
13,10500.0,10000.0,-0.00046,2.99988e-07,1,0
14,10500.0,10000.0,-0.00074,2.99988e-07,1,0
15,10499.6,10020.0,-0.00037,2.99987e-07,2,0
16,10499.6,10020.0,-0.00073,2.99987e-07,2,0
17,10499.6,10020.0,-0.0004,2.99988e-07,2,0
18,10499.6,10020.0,-0.00067,2.99986e-07,2,0
19,10499.6,10020.0,-0.0004,2.99985e-07,2,0
20,10499.6,10020.0,-0.00057,2.99989e-07,2,0
21,10499.6,10020.0,-0.00044,2.99988e-07,2,0
22,10499.6,10020.0,-0.00059,2.99987e-07,2,0
23,10498.4,10040.0,-0.00035,2.99988e-07,3,0
24,10498.4,10040.0,-0.00051,2.99986e-07,3,0
25,10498.4,10040.0,-0.0005,2.99986e-07,3,0
26,10498.4,10040.0,-0.00036,2.99987e-07,3,0
27,10498.4,10040.0,-0.00043,2.99986e-07,3,0
28,10498.4,10040.0,-0.00051,2.99986e-07,3,0
29,10498.4,10040.0,-0.00044,2.99986e-07,3,0
30,10498.4,10040.0,-0.00034,2.99988e-07,3,0
31,10496.4,10059.8,-0.00054,2.99986e-07,4,0
32,10496.4,10059.8,-0.00037,2.99986e-07,4,0
33,10496.4,10059.8,-0.00038,2.99986e-07,4,0
34,10496.4,10059.8,-0.00061,2.99986e-07,4,0
35,10496.4,10059.8,-0.00031,2.99986e-07,4,0
36,10496.4,10059.8,-0.00044,2.99988e-07,4,0
37,10496.4,10059.8,-0.00062,2.99987e-07,4,0
38,10493.6,10079.599999999999,-0.00042,2.99988e-07,5,0
