data point,voltage,current,move number,flag
1,5.00036,3.4815e-08,0,0
2,4.99943,-2.0892e-08,0,0
3,5.00001,5.4379e-08,0,0
4,5.00006,-4.5444e-08,0,0
5,-0.00058,2.99986e-07,0,0
6,-0.00081,2.99983e-07,1,0
7,-0.00061,2.99984e-07,1,0
8,-0.0006,2.99984e-07,1,0
9,-0.00066,2.99985e-07,1,0
10,-0.00076,2.99983e-07,1,0
11,-0.00107,2.99985e-07,1,0
12,-0.0008,2.99983e-07,1,0
13,-0.00134,2.99985e-07,2,0
14,-0.00073,2.99985e-07,2,0
15,-0.00133,2.99983e-07,2,0
16,-0.00071,2.99983e-07,2,0
17,-0.0013,2.99983e-07,2,0
18,-0.00075,2.99984e-07,2,0
19,-0.00116,2.99983e-07,2,0
20,-0.0008,2.99984e-07,2,0
21,-0.0012,2.99984e-07,3,0
22,-0.00072,2.99984e-07,3,0
23,-0.00081,2.99984e-07,3,0
24,-0.00058,2.99984e-07,3,0
25,-0.00079,2.99984e-07,3,0
26,-0.00096,2.99984e-07,3,0
27,-0.0007,2.99986e-07,3,0
28,-0.00071,2.99984e-07,3,0
29,-0.00084,2.99984e-07,4,0
30,-0.00128,2.99983e-07,4,0
31,-0.00045,2.99984e-07,4,0
32,-0.00098,2.99984e-07,4,0
33,-0.00066,2.99983e-07,4,0
34,-0.00121,2.99984e-07,4,0
35,-0.00043,2.99984e-07,4,0
36,-0.00076,2.99982e-07,4,0
37,-0.00078,2.99982e-07,5,0
38,-0.00067,2.99982e-07,5,0
39,-0.0005,2.99983e-07,5,0
40,-0.00076,2.99982e-07,5,0
41,-0.00071,2.99985e-07,5,0
42,-0.00067,2.99985e-07,5,0
43,-0.00097,2.99986e-07,5,0
44,-0.00077,2.99983e-07,6,0
45,-0.00076,2.99984e-07,6,0
46,-0.00094,2.99985e-07,6,0
47,-0.00108,2.99985e-07,6,0
48,-0.0007,2.99982e-07,6,0
49,-0.00117,2.99984e-07,6,0
50,4.99944,6.7786e-08,6,0
51,4.99918,-2.1857e-08,6,0
52,5.00029,-4.1727e-08,7,0
53,5.0004,3.8689e-08,7,0
54,4.99971,2.0452e-08,7,0
55,4.99956,-3.6546e-08,7,0
56,5.00069,-2.22e-08,7,0
57,5.0002,5.0047e-08,7,0
58,4.99964,1.4267e-08,7,0
59,4.99975,-3.8315e-08,7,0
60,5.00058,1.79e-10,8,0
61,4.99972,5.1595e-08,8,0
62,4.9997,-9.82e-10,8,0
63,4.99962,-4.3121e-08,8,0
64,5.00055,1.0958e-08,8,0
65,4.99906,4.1381e-08,8,0
66,4.99939,-1.9281e-08,8,0
67,4.99986,-4.4947e-08,8,0
68,5.00042,2.3739e-08,9,0
69,4.99961,2.6121e-08,9,0
70,4.99939,-2.922e-08,9,0
71,5.00058,-3.2063e-08,9,0
72,5.00044,4.7569e-08,9,0
73,4.99959,1.6963e-08,9,0
74,4.99966,-3.7881e-08,9,0
75,5.0007,-1.947e-08,9,0
76,5.00017,4.9028e-08,9,0
77,4.99939,1.184e-08,9,0
78,4.99969,-4.1121e-08,10,0
79,5.00059,2.054e-09,10,0
80,4.99956,4.9973e-08,10,0
81,4.9991,-7.67e-09,10,0
82,4.99968,-4.632e-08,10,0
83,5.00056,2.211e-08,10,0
84,4.99909,3.484e-08,10,0
85,4.99953,-2.1486e-08,11,0
86,5.00014,-3.979e-08,11,0
87,5.00043,3.5585e-08,11,0
88,4.99963,2.3909e-08,11,0
89,4.99925,-3.3435e-08,11,0
90,5.00054,-3.1885e-08,11,0
91,5.00036,4.4252e-08,11,0
92,4.99954,1.5973e-08,11,0
93,4.99977,-3.7037e-08,12,0
94,5.00068,-5.92e-09,12,0
95,4.99996,5.1862e-08,12,0
96,4.99929,-4.89e-10,12,0
97,-0.0005,2.99984e-07,12,0
98,-0.00077,2.99983e-07,12,0
99,-0.00056,2.99984e-07,12,0
100,-0.00067,2.99983e-07,13,0
101,-0.00051,2.99983e-07,13,0
